Denominazione|Città|Stato|Nome|Indirizzo|Direttore|Numeri Utili|Sito Web|Email|Attività|Luogo
Porto Viro|Rovigo|Italia|(1978) 1983 Centro Giovanile Salesiano San Giusto| Via Mazzini, 155 45014 Porto Viro (RO)| don Gianluca Brisotto| Centro Giovanile San Giusto - 0426 633 528 Parrocchia Scalon - 0426 631 394|direttore.portoviro@salesianinordest.it |Oratorio; Centro giovanile; Parrocchia; Doposcuola; Animazione Pastorale - Educativa Giovanile del territorio.|Triveneto
San Donà di Piave|Venezia|Italia|(1928) 1930 Oratorio don Bosco| Via XIII Martiri, 86 30027 San Donà di Piave (VE)| don Nicola Munari| Comunità - 0421 338 911 Direttore - 0421 338 991 Economo - 0421 338 904 Oratorio - 0421 338 905 CFP - 0421 338 980|https://www.donboscosandona.it/ |sandona@salesianinordest.it |Oratorio; Centro giovanile; Centro di Formazione professionale - settori: elettrico, meccanico, motoristico, elettronico-informatico, energie rinnovabili; Doposcuola (Associazione La Giostra); Formazione Continua; Casa per ferie; Sala della comunità.|Triveneto
Santa Maria La Longa|Udine|Italia|1983 Associazione "La Viarte" ODV| Via Zompicco, 42 33050 Santa Maria La Longa (UD)| don Stefano Pegorin| Comunità - Associazione - 0432 995050 Cooperativa La Viarte - 0432 995371|https://www.laviarteonlus.it/ |associazione@laviarteonlus.it - asslaviarte@salesianinordest.it |Comunità educativa per minori; Animazione Pastorale-Educativa giovanile nel territorio; Associazione di volontariato per la prevenzione; Cooperativa di solidarietà sociale; Doposcuola.|Triveneto
Schio|Vicenza|Italia|(1901) 1926 Istituto Salesiano Don Bosco| Via Marconi, 14 36015 Schio (VI)| don Enrico Gaetan| Comunità - 0445 521 173 Direzione - 0445 504 335 CFP - 0445 525 151 Oratorio - 0445 504 336 Cinema - 0445 504 334 Palazzetto dello sport  - 0445 521 519|http://www.salesianischio.it/ |schio@salesianinordest.it |Oratorio; Centro Giovanile; Centro di Formazione professionale - settore: elettrico-elettronico, amministrativo commerciale, agro ambientale; Centro Pastorale per immigrati africani anglofoni; Palazzetto dello sport; Chiesa pubblica; Doposcuola (Associazione Yamkuam); Sala della comunità.|Triveneto
Tolmezzo|Udine|Italia|(1926) 1927 Collegio Salesiano Don Bosco| Via Dante Alighieri, 3 33028 Tolmezzo (UD)| don Loris Biliato| Comunità - 0433 400 54|https://www.donboscotolmezzo.it/ |tolmezzo@salesianinordest.it |Scuola primaria paritaria; Scuola secondaria di 1° grado paritaria; Oratorio; Centro giovanile; Ospitalità; Cappellanie; Animazione Pastorale - Educativa giovanile del territorio.|Triveneto
Trento|Trento|Italia|(1893) 1926 Istituto Salesiano Maria Ausiliatrice| Via Barbacovi, 22 38122 Trento (TN)|Direttori: don Nicola Toffanello| Comunità - 0461 885 555 Direzione - 0445 504 335 Collegio Universitario - 0461 885 506|https://www.sdbtrento.it/ |trento@salesianinordest.it |Scuola secondaria di 1° grado paritaria; Collegio universitario; Chiesa pubblica.|Triveneto
Trieste|Trieste|Italia|(1898) 1926 Oratorio Salesiano San Giovanni Bosco| Via dell’Istria, 53 34137 Trieste (TS)|Direttore: don Germano Colombo| Comunità - 040 638 526|http://www.salesianitrieste.it/Home/Contenuti/index.html |trieste@salesianinordest.it |Parrocchia; Oratorio; Centro giovanile; Convitto universitario; Doposcuola; Sala della comunità.|Triveneto
Udine|Udine|Italia|1939 Istituto Salesiano "G. Bearzi"| Via D. Bosco, 2 33100 Udine (UD)| don Lorenzo Teston| Comunità - 0432 493 911 Scuola primaria - 0432 493 931 Scuola secondaria di 1° grado - 0432 493 906 CFP - 0432 493 971 Parrocchia - 0432 493 930 Oratorio - 0432 493 929 Casa Famiglia  - 0432 493 938|https://www.bearzi.it/ |bearzi@salesianinordest.it |Scuola primaria paritaria; Scuola secondaria di 1° grado paritaria; Scuola secondaria di 2° grado paritaria: Istituto Tecnico Informatico, Meccatronico; Centro di Formazione professionale - settore: meccanico, elettromeccanico, motoristico; Parrocchia; Oratorio; Centro Giovanile; Convitto universitario; Casa Famiglia; Comunità Proposta; Comunità MSNA; Science center; Scuola di musica; Formazione continua; Ospitalità.|Triveneto
Venezia - Castello|Venezia|Italia|(1917) 1926 Patronato Salesiano "Leone XIII"|  Castello 1281 - Calle S. Domenico 30122 Venezia (VE)| don Vittorio Tonidandel| Comunità - 041 5230 796 Oratorio - 041 2416 603 Parrocchia San Francesco - 041 5238 533 Parrocchia San Pietro Apostolo  - 041 5238 950|https://www.salesianivenezia.it/ |info@salesianivenezia.it |Oratorio; Centro giovanile; Parrocchie e zona pastorale; Ospitalità; Doposcuola.|Triveneto
Verona Don Bosco|Verona|Italia|(1891) 1926 Istituto Salesiano Don Bosco|Stradone Antonio Provolo, 16 37123 Verona (VR)| don Massimo Zagato| Comunità - 045 8070 711 Direzione - 045 8070 780 Economo - 045 8070 803 Vicario - 045 8070 919 Libreria - 045 8070 746|https://salesianiverona.it/ |donbosco@salesianinordest.it |Scuola primaria paritaria; Scuola secondaria di 1° grado paritaria; Scuola secondaria di 2° grado paritaria: Istituto Tecnico Economico Amministrativo, Finanza e Marketing, Istituto Tecnico Tecnologico Informatico, Liceo Scientifico e Scienze applicate, Liceo Linguistico; Università IUSVE: comunicazione e grafica; Collegio universitario; Libreria; Ospitalità Estiva.|Triveneto
Verona San Zeno|Verona|Italia|(1964) 1962 Istituto Salesiano "San Zeno"| Via don Giovanni Minzoni, 50 37138 Verona (VR)| don Mariano Diotto | Centralino - 045 8070 111 Direzione - 045 8070 125 Amministrazione - 045 8070 128 CFP - 045 8070 134 Formazione Continua e Superiore - 045 8070 532 Istituto Tecnico Tecnologico - 045 8070 123 CFP (sede di S. Ambrogio in V.lla) - 045 8070 878|https://istitutosalesianosanzeno.it/ |sanzeno@salesianinordest.it |CFP: Meccanica e automazione, automotive, energiee. termoidraulica, elettrico ed elettronico, grafica e comunicazione, arte ed automazione del marmo; Formazione Duale: qualifica porfessionale in operatore meccanico e operatore elettrico e diploma professionale in automazione industriale, elettrico, impianti termici, grafico; ITT Istituto Tecnico Tecnologico: meccanica e meccatronica, elettronica ed elettrotecnica, energia e termotecnica, grafica e comunicazione; ITS Istituto Tecnico Superiore: automazione e sistemi meccatronici, Energy Manager 4.0, Industria 4.0; Formazione Superiore: Communication design, tecnico del restauro e dei beni culturali, tecnologie per tecnici cartari; Servizio al Lavoro.|Triveneto
Verona Santa Croce|Verona|Italia|1977 Parrocchia Santa Croce| Via G. D’Arezzo, 27 37131 Verona (VR)| don Dino Marcon| Parrocchia - 045 526 243 Centro Giovanile - 045 8489 108|https://www.oratoriosantacroce.it/ |santacroce@salesianinordest.it |Parrocchia; Oratorio; Centro giovanile; Doposcuola; cinema/sala della comunità.|Triveneto


